quantity,v13x_source,v140_formal_online_source,real_aircraft_source,jsbsim_truth_allowed_online
along_track_position,D.pos_n_m,GNSS_position_plus_causal_filter,GNSS_INS_local_NED_ENU,no
ground_speed,D.v_north_mps,GNSS_velocity_plus_filter,GNSS_INS_velocity,no
vertical_speed,D.vz_up_mps,GNSS_vertical_velocity_plus_filter,GNSS_INS_or_fused_VSI,no
altitude,h_truth,baro_relative_altitude_plus_vertical_prediction,baro_GNSS_INS_relative_to_mission_datum_or_radar_altimeter,no
true_airspeed,Va_truth,air_data_measurement_plus_bias_noise_filter,pitot_static_air_data_computer_TAS,no
flight_path_angle,gamma_truth,atan2_estimated_vertical_velocity_estimated_ground_speed,GNSS_INS_velocity_vector,no
pitch,theta_truth,AHRS_pitch_plus_filter,AHRS_INS,no
pitch_rate,q_truth,gyro_q_plus_filter,IMU_gyro,no
engine_N1,N1_truth,engine_telemetry_plus_filter,FADEC_ECU_tach_or_observer,no
engine_N2,N2_truth,engine_telemetry_plus_filter,FADEC_ECU_tach_or_observer,no
longitudinal_wind,D.wind_long_mps,causal_ground_minus_air_velocity_estimator,air_data_plus_GNSS_INS_estimator,no
mass,D.mass_kg,cfg_manifest_schedule_only,manifest_plus_fuel_quantity_release_confirmation,no
CG,D.cg_x_m,cfg_manifest_schedule_only,manifest_geometry_plus_fuel_model,no
Iyy,D.Iyy_kgm2,cfg_manifest_schedule_only,precomputed_or_identified_configuration_table,no
truth_carrier_state,JSBSim,scoring_only,independent_flight_test_reference,scoring_only
truth_environment_wind,scripted_JSBSim_wind,scoring_and_plant_only,independent_met_lidar_anemometer_or_test_command,scoring_only
payload_impact_truth,shared_ballistic_model,independent_2D_drag_scoring_plant,payload_RTK_UWB_camera_radar_survey,scoring_only
